date,opponent,home,b2b,result,MIN,PTS,REB,AST,STL,BLK,TOV,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,GmSc,+/-
2021-10-22,PHX,True,False,L,12,8.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,3.0,0.667,0.0,0.0,0.0,6.0,17.0
2021-10-24,MEM,True,False,W,18,4.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,4.4,18.0
2021-10-26,SAS,False,False,W,30,10.0,2.0,1.0,0.0,0.0,2.0,3.0,5.0,0.6,2.0,4.0,0.5,2.0,2.0,1.0,5.8,-13.0
2021-10-27,OKC,False,True,L,18,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.2,-5.0
2021-10-29,CLE,True,False,W,21,7.0,3.0,2.0,0.0,1.0,1.0,2.0,4.0,0.5,1.0,2.0,0.5,2.0,2.0,1.0,5.8,1.0
2021-10-31,HOU,True,False,W,20,2.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,-2.2,5.0
2021-11-02,HOU,True,False,W,21,2.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.4,2.0
2021-11-04,OKC,True,False,L,22,8.0,2.0,0.0,1.0,0.0,0.0,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,6.2,0.0
2021-11-06,POR,False,False,L,25,10.0,6.0,3.0,0.0,0.0,1.0,3.0,9.0,0.333,2.0,5.0,0.4,2.0,2.0,1.0,7.8,17.0
2021-11-08,CHA,True,False,W,27,8.0,1.0,1.0,1.0,0.0,0.0,3.0,6.0,0.5,0.0,3.0,0.0,2.0,2.0,1.0,5.0,3.0
2021-11-28,DET,True,False,W,6,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7,2.0
2021-11-30,SAC,False,False,W,18,3.0,5.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,4.6,8.0
2021-12-03,LAC,True,False,L,9,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,1.0,0.0,0.1,-5.0
2021-12-07,BOS,True,False,W,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2021-12-10,OKC,False,False,W,28,13.0,5.0,2.0,0.0,0.0,1.0,4.0,7.0,0.571,1.0,3.0,0.333,4.0,4.0,1.0,12.0,17.0
2021-12-12,ORL,True,False,W,25,5.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,1.0,4.1,-2.0
2021-12-15,DAL,False,False,W,32,15.0,7.0,2.0,1.0,0.0,1.0,5.0,6.0,0.833,5.0,6.0,0.833,0.0,0.0,0.0,14.7,10.0
2021-12-31,POR,True,False,W,27,10.0,1.0,1.0,1.0,0.0,0.0,3.0,7.0,0.429,1.0,4.0,0.25,3.0,3.0,1.0,7.9,13.0
2022-01-02,MIN,True,False,W,22,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0
2022-01-04,SAC,True,False,W,22,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,10.0
2022-01-07,ATL,True,False,W,18,2.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,3.6,9.0
2022-01-09,MEM,True,False,L,23,16.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,0.75,1.0,2.0,0.5,3.0,4.0,0.75,11.9,7.0
2022-01-12,SAC,False,False,L,28,19.0,3.0,0.0,0.0,0.0,0.0,7.0,10.0,0.7,4.0,7.0,0.571,1.0,1.0,1.0,16.1,0.0
2022-01-15,DEN,False,False,L,27,5.0,4.0,1.0,0.0,0.0,2.0,1.0,5.0,0.2,0.0,1.0,0.0,3.0,4.0,0.75,1.4,-32.0
2022-01-17,UTA,True,False,W,21,4.0,5.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,3.1,13.0
2022-01-19,IND,True,False,L,25,2.0,4.0,2.0,0.0,0.0,2.0,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,-0.5,5.0
2022-01-21,ORL,False,False,W,23,5.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,6.0,0.833,4.7,3.0
2022-01-23,MIA,False,False,L,9,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
2022-01-25,BKN,False,False,W,25,2.0,5.0,6.0,1.0,1.0,0.0,1.0,3.0,0.333,0.0,2.0,0.0,0.0,0.0,0.0,8.9,13.0
2022-01-27,PHI,False,False,L,23,0.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-0.4,-16.0
2022-01-28,CHA,False,True,L,28,16.0,8.0,3.0,0.0,0.0,0.0,6.0,12.0,0.5,2.0,6.0,0.333,2.0,3.0,0.667,14.1,9.0
2022-01-30,ATL,False,False,L,26,6.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,0.333,1.0,3.0,0.333,3.0,4.0,0.75,6.4,-2.0
2022-02-02,POR,True,False,W,22,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-0.5,3.0
2022-02-03,LAC,False,True,L,25,5.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.7,6.0
2022-02-05,NYK,True,False,W,18,9.0,3.0,0.0,0.0,1.0,1.0,2.0,5.0,0.4,0.0,2.0,0.0,5.0,5.0,1.0,6.9,5.0
2022-02-08,MIL,True,False,L,20,10.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.667,2.0,4.0,0.5,0.0,0.0,0.0,8.1,-2.0
2022-02-09,POR,False,True,L,13,5.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,2.0,0.0,4.3,1.0
2022-02-12,GSW,False,False,L,23,13.0,3.0,2.0,0.0,2.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,15.2,-3.0
2022-02-16,UTA,True,False,W,29,9.0,4.0,2.0,1.0,0.0,0.0,3.0,6.0,0.5,1.0,4.0,0.25,2.0,3.0,0.667,8.8,8.0
2022-02-25,LAC,True,False,L,33,6.0,1.0,3.0,0.0,2.0,1.0,2.0,4.0,0.5,0.0,2.0,0.0,2.0,2.0,1.0,5.6,-2.0
2022-02-27,NOP,True,False,L,21,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.2,0.0,4.0,0.0,0.0,0.0,0.0,-1.9,-20.0
2022-03-01,DAL,True,False,L,17,2.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,-0.1,7.0
2022-03-03,LAC,False,False,L,26,9.0,1.0,3.0,1.0,1.0,0.0,3.0,7.0,0.429,2.0,3.0,0.667,1.0,1.0,1.0,9.0,-19.0
2022-03-05,GSW,True,False,W,34,10.0,5.0,2.0,3.0,2.0,2.0,3.0,7.0,0.429,3.0,5.0,0.6,1.0,1.0,1.0,11.2,18.0
2022-03-07,SAS,False,False,L,27,13.0,6.0,0.0,0.0,0.0,1.0,6.0,8.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,9.8,11.0
2022-03-09,HOU,False,False,L,33,17.0,4.0,2.0,1.0,1.0,2.0,4.0,7.0,0.571,3.0,6.0,0.5,6.0,6.0,1.0,15.2,-10.0
2022-03-11,WAS,True,False,W,32,12.0,5.0,3.0,0.0,1.0,1.0,6.0,10.0,0.6,0.0,4.0,0.0,0.0,0.0,0.0,10.3,12.0
2022-03-13,PHX,False,False,L,25,10.0,4.0,0.0,1.0,0.0,1.0,2.0,4.0,0.5,1.0,2.0,0.5,5.0,6.0,0.833,8.8,-32.0
2022-03-14,TOR,True,True,L,17,3.0,2.0,0.0,0.0,0.0,1.0,1.0,7.0,0.143,0.0,4.0,0.0,1.0,2.0,0.5,-2.3,-24.0
2022-03-16,MIN,False,False,L,22,7.0,3.0,1.0,0.0,0.0,1.0,3.0,5.0,0.6,1.0,2.0,0.5,0.0,0.0,0.0,5.3,0.0
2022-03-18,TOR,False,False,W,27,10.0,7.0,6.0,2.0,0.0,0.0,3.0,10.0,0.3,2.0,7.0,0.286,2.0,2.0,1.0,12.5,18.0
